target_fid,value,followers
248954,lonliboy,7460
277409,makimaa.eth,7458
579038,marianrigajlo,7422
193854,bungee-exchange,7419
424143,julianachkebia,7388
522569,jaceck,7386
217780,0xsujit,7369
326040,angelikakollin,7324
345284,cryptoteluguo,7323
383485,deathpixie,7316
503798,mbugday,7311
248468,cryptography,7279
446971,richiejuma1603,7232
305183,rusmayana,7194
251333,vip3,7192
192539,yougogirl.eth,7189
320215,injustcuz,7177
292506,wellzy,7168
446029,markanderson,7138
505917,krowplatform,7137
380588,0x0mtan,7106
22420,0xd,7100
366841,vidzone,7098
428428,tchi,7098
285998,hind,7076
478308,degenking1,7059
345484,farcastermap,7041
311845,reisub.eth,7039
406283,iseopa,6999
332307,dbase,6999
337018,baubergo-,6983
483751,lifechanger,6962
295519,fartoon,6954
308771,murena,6952
303146,skillmatrix,6943
406536,hanbyeol,6928
294064,202020,6900
242999,x2,6895
414955,justbuild,6888
280037,fardog,6877
444929,fredha.eth,6873
211186,0xgymleader.eth,6872
358602,wulfz404,6863
195917,clauswilke,6827
411602,fvckrender,6811
213144,complexlity,6769
242021,farokh,6766
196040,builderfi,6749
301676,satoshismom,6744
408777,angelus.eth,6733
309043,tracingstories,6731
470587,gau2021,6730
243663,manator,6718
539315,monkeydjason,6701
412843,sharpedo.eth,6700
441926,meyo,6674
395748,bet188,6665
467706,zenpulse,6639
375028,ausar,6632
318702,setter,6632
266782,atnsarts,6618
301144,itslemon.eth,6614
372573,triumphal,6587
249635,bsd-gambit,6577
450425,reaction,6552
302008,bangcode.eth,6552
487321,memeinvest.eth,6550
459198,waleed09,6536
309242,deriniti,6507
294300,sashanotonline,6499
196215,sloppy,6464
308721,farmirror,6461
214212,linea,6458
388302,checkin,6440
420657,zeph,6440
262383,shaax,6429
503732,proxyswap,6420
289081,0xhoneyjar,6416
423248,ngohong19,6402
419871,jinjjaonyu,6390
500144,sandalwood,6379
307736,generalism.eth,6377
341482,fardegods,6373
409032,getfreddie,6353
400486,yenkute,6322
298503,vinito,6317
449539,proharry,6296
226517,nounish,6292
403231,blokc,6279
434018,ayeshakhan,6268
308527,omt,6264
297319,segwitnitwit,6262
533630,pegasno,6232
247859,aduduxl,6227
381547,yozun,6224
373434,hookprotocol,6221
285462,non07777.eth,6214
435557,jossee,6195
392074,upper,6192
252911,yutongold.eth,6169
420540,ox-crypto,6154
226244,greekdx,6149
306175,lolaa,6147
537227,degengate,6134
418296,creambread,6132
230238,mvr,6106
278655,maximonee,6105
304106,zineuc.eth,6097
422233,mahla,6093
444773,ethn,6088
340986,trillobyte,6088
373866,kokyonft,6084
411778,juhn0512,6062
193866,cryptosapiens.eth,6055
554179,thovip666,6054
436086,enjoydegen,6044
482168,migmig,6034
301340,kdaniels.eth,6032
391793,rafaello12,6018
408746,nutellacrepe.eth,6014
21187,ethxy,6008
531162,buildbot,6001
497018,lafemme,5998
354474,frame404,5998
326433,tmophoto,5997
268455,swim,5980
226690,renstern.eth,5976
259595,traderjoe,5973
372323,warpwatch,5969
228715,farcastles,5969
416087,mingming13.eth,5966
267965,rollbit,5962
446139,kimtrinh6868,5959
439396,taecoin,5956
570085,dehua,5934
407704,ddongguri,5918
331908,astroross,5896
418456,yoony12,5893
501896,yuruyuru,5887
573390,crypto-partner,5882
198629,gk3345,5882
227886,grit,5880
530495,rose369,5879
245579,niceonesonny.eth,5874
236238,beyondclub,5858
244305,pifi,5857
424033,theodore1098,5856
297084,wccastdonalds.eth,5834
404125,hoamom,5830
423383,tra,5826
285999,cozomomedici,5825
283597,wanderloots.eth,5823
430462,yaza69759996,5818
263664,oppai,5815
356732,basedmage.eth,5810
429188,farther,5785
476994,goatmeat,5784
349775,johnnytrend.eth,5720
243719,downshift.eth,5713
403517,soulthesea,5707
236173,batz.eth,5698
265405,0xkirby,5697
281290,platformmmm,5688
424937,sepehrnoush.eth,5685
406157,tom-major,5677
552488,chenjiao,5675
417063,breech,5673
199989,smokingfrog.eth,5665
425967,cubjs,5654
235170,biterror.eth,5654
427158,mdrzored,5649
293726,drivenbyboredom,5632
411451,jjugrri,5626
537660,nikhilsaik,5624
501087,sarfrazkhan,5607
382707,vlados666,5594
324420,bracketgame,5581
364017,guillaumecornet,5581
411948,qjzlxnxn,5579
408979,nmeow.eth,5578
441249,79112761409,5574
446917,seyfat,5568
243270,mahdiweb3.eth,5559
483150,hatien,5547
514036,subhanahmad,5546
323070,maheshb,5532
257223,mysticc.eth,5529
299247,catswilleatyou,5516
363197,bakergracemusic,5512
233754,mintcast,5508
425093,ppaphan,5506
393467,cosmosastroart,5501
470221,degendistributer,5487
292008,outposts.eth,5484
422367,ch0p,5465
342085,nabata.eth,5459
285061,marijuanaaa.eth,5458
455151,waqaskhanw,5453
594478,btc3,5445
419741,0xabss.eth,5438
239182,ruclim,5430
302400,apollodoge.eth,5428
421335,imsoft,5424
420114,mohamadrezaei,5412
408681,lifeofryan,5410
462548,n7160,5395
533189,nanamorgana,5395
523976,sayvind,5392
346798,nachovarga69.eth,5377
372043,coinvise,5375
242191,0xqeew,5365
388952,6689,5356
268996,alp777,5342
402865,waw0209,5336
447620,cr1veth,5333
352776,boombox,5328
479163,momentum1,5322
21773,coinbase,5318
469814,gandum,5317
401724,tispis,5306
196149,felirami.eth,5306
247653,pandateemo,5290
209951,swishh.eth,5269
424006,jinbearwoong,5262
451793,javedjaved,5256
380660,prouddegen.eth,5256
401736,yasamannn79,5240
289420,hieuhtg.eth,5236
296737,duderad.eth,5226
603153,artirawat,5215
243818,metadavid,5195
397815,shulzzz,5189
425387,buhg,5187
397392,ako1988,5186
426970,woo-z,5183
504224,icdet,5179
395269,gm-app,5178
335954,nicolassassoon.eth,5170
